"Species","Island","Clutch Completion","date_egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)","Comments","year_egg","culmen_area"
"Chinstrap penguin","Dream","Yes",2007-11-22,45.9,17.1,190,3575,"FEMALE",9.12277,-24.90024,NA,2007,784.89
"Chinstrap penguin","Dream","Yes",2007-11-22,50.5,19.6,201,4050,"MALE",9.8059,-24.7294,NA,2007,989.8
"Chinstrap penguin","Dream","No",2007-11-30,50.3,20,197,3300,"MALE",10.02019,-24.54704,NA,2007,1006
"Chinstrap penguin","Dream","No",2007-11-30,58,17.8,181,3700,"FEMALE",9.14382,-24.57994,NA,2007,1032.4
"Chinstrap penguin","Dream","Yes",2007-11-30,46.4,18.6,190,3450,"FEMALE",9.32105,-24.64162,NA,2007,863.04
"Chinstrap penguin","Dream","Yes",2007-11-30,49.2,18.2,195,4400,"MALE",9.27158,-24.64335,NA,2007,895.44
"Chinstrap penguin","Dream","Yes",2007-12-03,42.4,17.3,181,3600,"FEMALE",9.35138,-24.6879,NA,2007,733.52
"Chinstrap penguin","Dream","Yes",2007-12-03,48.5,17.5,191,3400,"MALE",9.42666,-24.26375,NA,2007,848.75
"Chinstrap penguin","Dream","No",2007-11-28,43.2,16.6,187,2900,"FEMALE",9.35416,-25.01185,NA,2007,717.12
"Chinstrap penguin","Dream","No",2007-11-28,50.6,19.4,193,3800,"MALE",9.28153,-24.97134,NA,2007,981.64
"Chinstrap penguin","Dream","No",2007-11-28,46.7,17.9,195,3300,"FEMALE",9.74144,-24.59467,NA,2007,835.93
"Chinstrap penguin","Dream","No",2007-11-28,52,19,197,4150,"MALE",9.36799,-24.47142,NA,2007,988
"Chinstrap penguin","Dream","No",2008-11-25,50.5,18.4,200,3400,"FEMALE",8.9399,-23.89017,NA,2008,929.2
"Chinstrap penguin","Dream","No",2008-11-25,49.5,19,200,3800,"MALE",9.63074,-24.34684,NA,2008,940.5
"Chinstrap penguin","Dream","Yes",2008-11-14,46.4,17.8,191,3700,"FEMALE",9.37369,-24.52896,NA,2008,825.92
"Chinstrap penguin","Dream","Yes",2008-11-14,52.8,20,205,4550,"MALE",9.25177,-24.69638,NA,2008,1056
"Chinstrap penguin","Dream","Yes",2008-11-24,40.9,16.6,187,3200,"FEMALE",9.08458,-24.54903,NA,2008,678.94
"Chinstrap penguin","Dream","Yes",2008-11-24,54.2,20.8,201,4300,"MALE",9.49283,-24.59996,NA,2008,1127.36
"Chinstrap penguin","Dream","Yes",2008-11-24,42.5,16.7,187,3350,"FEMALE",9.36668,-24.45195,NA,2008,709.75
"Chinstrap penguin","Dream","Yes",2008-11-24,51,18.8,203,4100,"MALE",9.23196,-24.17282,NA,2008,958.8
"Chinstrap penguin","Dream","Yes",2008-11-25,49.7,18.6,195,3600,"MALE",9.75486,-24.31198,NA,2008,924.42
"Chinstrap penguin","Dream","Yes",2008-11-25,47.5,16.8,199,3900,"FEMALE",9.07825,-25.1455,NA,2008,798
"Chinstrap penguin","Dream","Yes",2008-11-14,47.6,18.3,195,3850,"FEMALE",8.83502,-24.65859,NA,2008,871.08
"Chinstrap penguin","Dream","Yes",2008-11-14,52,20.7,210,4800,"MALE",9.43146,-24.6844,NA,2008,1076.4
"Chinstrap penguin","Dream","No",2008-11-24,46.9,16.6,192,2700,"FEMALE",9.80589,-24.73735,NA,2008,778.54
"Chinstrap penguin","Dream","No",2008-11-24,53.5,19.9,205,4500,"MALE",10.02544,-24.90816,NA,2008,1064.65
"Chinstrap penguin","Dream","Yes",2008-11-24,49,19.5,210,3950,"MALE",9.53262,-24.66867,NA,2008,955.5
"Chinstrap penguin","Dream","Yes",2008-11-24,46.2,17.5,187,3650,"FEMALE",9.61734,-24.66188,NA,2008,808.5
"Chinstrap penguin","Dream","Yes",2008-11-14,50.9,19.1,196,3550,"MALE",10.02372,-24.86594,NA,2008,972.19
"Chinstrap penguin","Dream","Yes",2008-11-14,45.5,17,196,3500,"FEMALE",9.36493,-24.66259,NA,2008,773.5
"Chinstrap penguin","Dream","Yes",2009-11-17,50.9,17.9,196,3675,"FEMALE",9.43684,-24.16566,NA,2009,911.11
"Chinstrap penguin","Dream","Yes",2009-11-17,50.8,18.5,201,4450,"MALE",9.45827,-24.35575,NA,2009,939.8
"Chinstrap penguin","Dream","Yes",2009-11-27,50.1,17.9,190,3400,"FEMALE",9.46819,-24.45721,NA,2009,896.79
"Chinstrap penguin","Dream","Yes",2009-11-27,49,19.6,212,4300,"MALE",9.34089,-24.45189,NA,2009,960.4
"Chinstrap penguin","Dream","Yes",2009-11-23,51.5,18.7,187,3250,"MALE",9.6895,-24.43062,NA,2009,963.05
"Chinstrap penguin","Dream","Yes",2009-11-23,49.8,17.3,198,3675,"FEMALE",9.32169,-24.41562,NA,2009,861.54
"Chinstrap penguin","Dream","Yes",2009-11-21,48.1,16.4,199,3325,"FEMALE",9.46929,-24.48403,NA,2009,788.84
"Chinstrap penguin","Dream","Yes",2009-11-21,51.4,19,201,3950,"MALE",9.43782,-24.36202,NA,2009,976.6
"Chinstrap penguin","Dream","Yes",2009-11-23,45.7,17.3,193,3600,"FEMALE",9.415,-24.805,NA,2009,790.61
"Chinstrap penguin","Dream","Yes",2009-11-23,50.7,19.7,203,4050,"MALE",9.93727,-24.59066,NA,2009,998.79
"Chinstrap penguin","Dream","Yes",2009-11-27,42.5,17.3,187,3350,"FEMALE",9.56534,-24.60882,NA,2009,735.25
"Chinstrap penguin","Dream","Yes",2009-11-27,52.2,18.8,197,3450,"MALE",9.77528,-24.56481,NA,2009,981.36
"Chinstrap penguin","Dream","Yes",2009-11-21,45.2,16.6,191,3250,"FEMALE",9.62357,-24.78984,NA,2009,750.32
"Chinstrap penguin","Dream","Yes",2009-11-21,49.3,19.9,203,4050,"MALE",9.88809,-24.59513,NA,2009,981.07
"Chinstrap penguin","Dream","Yes",2009-11-21,50.2,18.8,202,3800,"MALE",9.74492,-24.404,NA,2009,943.76
"Chinstrap penguin","Dream","Yes",2009-11-21,45.6,19.4,194,3525,"FEMALE",9.46985,-24.65786,NA,2009,884.64
"Chinstrap penguin","Dream","Yes",2009-11-27,51.9,19.5,206,3950,"MALE",NA,-23.78767,NA,2009,1012.05
"Chinstrap penguin","Dream","Yes",2009-11-27,46.8,16.5,189,3650,"FEMALE",9.65061,-24.48153,NA,2009,772.2
"Chinstrap penguin","Dream","Yes",2009-11-19,45.7,17,195,3650,"FEMALE",9.26715,-24.31912,NA,2009,776.9
"Chinstrap penguin","Dream","Yes",2009-11-19,55.8,19.8,207,4000,"MALE",9.70465,-24.53494,NA,2009,1104.84
"Chinstrap penguin","Dream","No",2009-11-21,43.5,18.1,202,3400,"FEMALE",9.37608,-24.40753,NA,2009,787.35
"Chinstrap penguin","Dream","No",2009-11-21,49.6,18.2,193,3775,"MALE",9.4618,-24.70615,NA,2009,902.72
"Chinstrap penguin","Dream","Yes",2009-11-21,50.8,19,210,4100,"MALE",9.98044,-24.68741,NA,2009,965.2
"Chinstrap penguin","Dream","Yes",2009-11-21,50.2,18.7,198,3775,"FEMALE",9.39305,-24.25255,NA,2009,938.74
"Gentoo penguin","Biscoe","Yes",2007-11-27,46.1,13.2,211,4500,"FEMALE",7.993,-25.5139,NA,2007,608.52
"Gentoo penguin","Biscoe","Yes",2007-11-27,50,16.3,230,5700,"MALE",8.14756,-25.39369,NA,2007,815
"Gentoo penguin","Biscoe","Yes",2007-11-27,48.7,14.1,210,4450,"FEMALE",8.14705,-25.46172,NA,2007,686.67
"Gentoo penguin","Biscoe","Yes",2007-11-27,50,15.2,218,5700,"MALE",8.2554,-25.40075,NA,2007,760
"Gentoo penguin","Biscoe","Yes",2007-11-18,47.6,14.5,215,5400,"MALE",8.2345,-25.54456,NA,2007,690.2
"Gentoo penguin","Biscoe","Yes",2007-11-18,46.5,13.5,210,4550,"FEMALE",7.9953,-25.32829,NA,2007,627.75
"Gentoo penguin","Biscoe","Yes",2007-11-27,45.4,14.6,211,4800,"FEMALE",8.24515,-25.46782,NA,2007,662.84
"Gentoo penguin","Biscoe","Yes",2007-11-27,46.7,15.3,219,5200,"MALE",8.22673,-25.4276,NA,2007,714.51
"Gentoo penguin","Biscoe","Yes",2007-11-27,43.3,13.4,209,4400,"FEMALE",8.13643,-25.32176,NA,2007,580.22
"Gentoo penguin","Biscoe","Yes",2007-11-27,46.8,15.4,215,5150,"MALE",8.1631,-25.38017,NA,2007,720.72
"Gentoo penguin","Biscoe","No",2007-11-27,40.9,13.7,214,4650,"FEMALE",8.19579,-25.3933,NA,2007,560.33
"Gentoo penguin","Biscoe","No",2007-11-27,49,16.1,216,5550,"MALE",8.10417,-25.50562,NA,2007,788.9
"Gentoo penguin","Biscoe","Yes",2007-11-29,45.5,13.7,214,4650,"FEMALE",7.77672,-25.4168,NA,2007,623.35
"Gentoo penguin","Biscoe","Yes",2007-11-29,48.4,14.6,213,5850,"MALE",7.8208,-25.48025,NA,2007,706.64
"Gentoo penguin","Biscoe","Yes",2007-12-03,45.8,14.6,210,4200,"FEMALE",7.79958,-25.62618,NA,2007,668.68
"Gentoo penguin","Biscoe","Yes",2007-12-03,49.3,15.7,217,5850,"MALE",8.07137,-25.52473,NA,2007,774.01
"Gentoo penguin","Biscoe","Yes",2007-11-27,42,13.5,210,4150,"FEMALE",7.63884,-25.52627,NA,2007,567
"Gentoo penguin","Biscoe","Yes",2007-11-27,49.2,15.2,221,6300,"MALE",8.27376,-25.00169,NA,2007,747.84
"Gentoo penguin","Biscoe","Yes",2007-11-27,46.2,14.5,209,4800,"FEMALE",7.84057,-25.37899,NA,2007,669.9
"Gentoo penguin","Biscoe","Yes",2007-11-27,48.7,15.1,222,5350,"MALE",7.96491,-25.39587,NA,2007,735.37
"Gentoo penguin","Biscoe","Yes",2007-11-27,50.2,14.3,218,5700,"MALE",7.8962,-25.37746,NA,2007,717.86
"Gentoo penguin","Biscoe","Yes",2007-11-27,45.1,14.5,215,5000,"FEMALE",7.6322,-25.46569,NA,2007,653.95
"Gentoo penguin","Biscoe","Yes",2007-11-27,46.5,14.5,213,4400,"FEMALE",7.90436,-25.3947,NA,2007,674.25
"Gentoo penguin","Biscoe","Yes",2007-11-27,46.3,15.8,215,5050,"MALE",7.90971,-25.38157,NA,2007,731.54
"Gentoo penguin","Biscoe","Yes",2007-11-29,42.9,13.1,215,5000,"FEMALE",7.68528,-25.39181,NA,2007,561.99
"Gentoo penguin","Biscoe","Yes",2007-11-29,46.1,15.1,215,5100,"MALE",7.83733,-25.42826,NA,2007,696.11
"Gentoo penguin","Biscoe","Yes",2007-11-29,44.5,14.3,216,4100,"FEMALE",7.96621,-25.69327,NA,2007,636.35
"Gentoo penguin","Biscoe","Yes",2007-11-29,47.8,15,215,5650,"MALE",7.92358,-25.48383,NA,2007,717
"Gentoo penguin","Biscoe","Yes",2007-11-29,48.2,14.3,210,4600,"FEMALE",7.6887,-25.50811,NA,2007,689.26
"Gentoo penguin","Biscoe","Yes",2007-11-29,50,15.3,220,5550,"MALE",8.30515,-25.19017,NA,2007,765
"Gentoo penguin","Biscoe","Yes",2007-11-29,47.3,15.3,222,5250,"MALE",NA,NA,NA,2007,723.69
"Gentoo penguin","Biscoe","Yes",2007-11-29,42.8,14.2,209,4700,"FEMALE",7.63452,-25.46327,NA,2007,607.76
"Gentoo penguin","Biscoe","Yes",2007-12-03,45.1,14.5,207,5050,"FEMALE",7.97408,-25.53768,NA,2007,653.95
"Gentoo penguin","Biscoe","Yes",2007-12-03,59.6,17,230,6050,"MALE",7.76843,-25.6821,NA,2007,1013.2
"Gentoo penguin","Biscoe","Yes",2008-11-13,49.1,14.8,220,5150,"FEMALE",7.89744,-26.63405,NA,2008,726.68
"Gentoo penguin","Biscoe","Yes",2008-11-13,48.4,16.3,220,5400,"MALE",8.03659,-26.86127,NA,2008,788.92
"Gentoo penguin","Biscoe","Yes",2008-11-02,42.6,13.7,213,4950,"FEMALE",7.96935,-26.70968,NA,2008,583.62
"Gentoo penguin","Biscoe","Yes",2008-11-02,44.4,17.3,219,5250,"MALE",8.13746,-26.79093,NA,2008,768.12
"Gentoo penguin","Biscoe","Yes",2008-11-09,44,13.6,208,4350,"FEMALE",8.01979,-26.68311,NA,2008,598.4
"Gentoo penguin","Biscoe","Yes",2008-11-09,48.7,15.7,208,5350,"MALE",8.14776,-26.84506,NA,2008,764.59
"Gentoo penguin","Biscoe","No",2008-11-04,42.7,13.7,208,3950,"FEMALE",8.14567,-26.59467,NA,2008,584.99
"Gentoo penguin","Biscoe","No",2008-11-04,49.6,16,225,5700,"MALE",8.38324,-26.84272,NA,2008,793.6
"Gentoo penguin","Biscoe","Yes",2008-11-04,45.3,13.7,210,4300,"FEMALE",8.37615,-26.72791,NA,2008,620.61
"Gentoo penguin","Biscoe","Yes",2008-11-04,49.6,15,216,4750,"MALE",8.26548,-26.7699,NA,2008,744
"Gentoo penguin","Biscoe","Yes",2008-11-03,50.5,15.9,222,5550,"MALE",8.46894,-26.60436,NA,2008,802.95
"Gentoo penguin","Biscoe","Yes",2008-11-03,43.6,13.9,217,4900,"FEMALE",8.27141,-26.7765,NA,2008,606.04
"Gentoo penguin","Biscoe","No",2008-11-09,45.5,13.9,210,4200,"FEMALE",8.47829,-26.61788,NA,2008,632.45
"Gentoo penguin","Biscoe","No",2008-11-09,50.5,15.9,225,5400,"MALE",8.65803,-26.57585,NA,2008,802.95
"Gentoo penguin","Biscoe","Yes",2008-11-02,44.9,13.3,213,5100,"FEMALE",8.45167,-26.89644,NA,2008,597.17
"Gentoo penguin","Biscoe","Yes",2008-11-02,45.2,15.8,215,5300,"MALE",8.55868,-26.67799,NA,2008,714.16
"Gentoo penguin","Biscoe","Yes",2008-11-04,46.6,14.2,210,4850,"FEMALE",8.38289,-26.86352,NA,2008,661.72
"Gentoo penguin","Biscoe","Yes",2008-11-04,48.5,14.1,220,5300,"MALE",8.39867,-26.79358,NA,2008,683.85
"Gentoo penguin","Biscoe","Yes",2008-11-04,45.1,14.4,210,4400,"FEMALE",8.51951,-27.01854,NA,2008,649.44
"Gentoo penguin","Biscoe","Yes",2008-11-04,50.1,15,225,5000,"MALE",8.50153,-26.61414,NA,2008,751.5
"Gentoo penguin","Biscoe","Yes",2008-11-04,46.5,14.4,217,4900,"FEMALE",8.48789,-26.83006,NA,2008,669.6
"Gentoo penguin","Biscoe","Yes",2008-11-04,45,15.4,220,5050,"MALE",8.63488,-26.75621,NA,2008,693
"Gentoo penguin","Biscoe","Yes",2008-11-03,43.8,13.9,208,4300,"FEMALE",8.58319,-26.84415,NA,2008,608.82
"Gentoo penguin","Biscoe","Yes",2008-11-03,45.5,15,220,5000,"MALE",8.63604,-26.7489,NA,2008,682.5
"Gentoo penguin","Biscoe","Yes",2008-11-06,43.2,14.5,208,4450,"FEMALE",8.48367,-26.86485,NA,2008,626.4
"Gentoo penguin","Biscoe","Yes",2008-11-06,50.4,15.3,224,5550,"MALE",8.74647,-26.79846,NA,2008,771.12
"Gentoo penguin","Biscoe","Yes",2008-11-03,45.3,13.8,208,4200,"FEMALE",8.65015,-26.79053,NA,2008,625.14
"Gentoo penguin","Biscoe","Yes",2008-11-03,46.2,14.9,221,5300,"MALE",8.60092,-26.84374,NA,2008,688.38
"Gentoo penguin","Biscoe","Yes",2008-11-13,45.7,13.9,214,4400,"FEMALE",8.6287,-26.60484,NA,2008,635.23
"Gentoo penguin","Biscoe","Yes",2008-11-13,54.3,15.7,231,5650,"MALE",8.49662,-26.84166,NA,2008,852.51
"Gentoo penguin","Biscoe","Yes",2008-11-04,45.8,14.2,219,4700,"FEMALE",8.60447,-26.61601,NA,2008,650.36
"Gentoo penguin","Biscoe","Yes",2008-11-04,49.8,16.8,230,5700,"MALE",8.47067,-26.69166,NA,2008,836.64
"Gentoo penguin","Biscoe","Yes",2008-11-09,46.2,14.4,214,4650,"FEMALE",8.24253,-26.8154,NA,2008,665.28
"Gentoo penguin","Biscoe","Yes",2008-11-09,49.5,16.2,229,5800,"MALE",8.49854,-26.74809,NA,2008,801.9
"Gentoo penguin","Biscoe","Yes",2008-11-13,43.5,14.2,220,4700,"FEMALE",8.64931,-26.68867,NA,2008,617.7
"Gentoo penguin","Biscoe","Yes",2008-11-13,50.7,15,223,5550,"MALE",8.63551,-26.74249,NA,2008,760.5
"Gentoo penguin","Biscoe","Yes",2008-11-03,47.7,15,216,4750,"FEMALE",8.53018,-26.72751,NA,2008,715.5
"Gentoo penguin","Biscoe","Yes",2008-11-03,46.4,15.6,221,5000,"MALE",8.35078,-26.70783,NA,2008,723.84
"Gentoo penguin","Biscoe","Yes",2008-11-09,48.2,15.6,221,5100,"MALE",8.24651,-26.66958,NA,2008,751.92
"Gentoo penguin","Biscoe","Yes",2008-11-09,46.5,14.8,217,5200,"FEMALE",8.58487,-26.5929,NA,2008,688.2
"Gentoo penguin","Biscoe","Yes",2008-11-06,46.4,15,216,4700,"FEMALE",8.47938,-26.9547,NA,2008,696
"Gentoo penguin","Biscoe","Yes",2008-11-06,48.6,16,230,5800,"MALE",8.5964,-26.71199,NA,2008,777.6
"Gentoo penguin","Biscoe","Yes",2008-11-06,47.5,14.2,209,4600,"FEMALE",8.39299,-26.78733,NA,2008,674.5
"Gentoo penguin","Biscoe","Yes",2008-11-06,51.1,16.3,220,6000,"MALE",8.40327,-26.76821,NA,2008,832.93
"Gentoo penguin","Biscoe","Yes",2008-11-09,45.2,13.8,215,4750,"FEMALE",8.24694,-26.65359,NA,2008,623.76
"Gentoo penguin","Biscoe","Yes",2008-11-09,45.2,16.4,223,5950,"MALE",8.19749,-26.65931,NA,2008,741.28
"Gentoo penguin","Biscoe","Yes",2009-11-18,49.1,14.5,212,4625,"FEMALE",8.35802,-26.2766,NA,2009,711.95
"Gentoo penguin","Biscoe","Yes",2009-11-18,52.5,15.6,221,5450,"MALE",8.28601,-26.27573,NA,2009,819
"Gentoo penguin","Biscoe","Yes",2009-11-15,47.4,14.6,212,4725,"FEMALE",8.19101,-26.24369,NA,2009,692.04
"Gentoo penguin","Biscoe","Yes",2009-11-15,50,15.9,224,5350,"MALE",8.20042,-26.39677,NA,2009,795
"Gentoo penguin","Biscoe","Yes",2009-11-22,44.9,13.8,212,4750,"FEMALE",8.11238,-26.20372,NA,2009,619.62
"Gentoo penguin","Biscoe","Yes",2009-11-22,50.8,17.3,228,5600,"MALE",8.27428,-26.30019,NA,2009,878.84
"Gentoo penguin","Biscoe","Yes",2009-11-20,43.4,14.4,218,4600,"FEMALE",8.23468,-26.18599,NA,2009,624.96
"Gentoo penguin","Biscoe","Yes",2009-11-20,51.3,14.2,218,5300,"MALE",8.15426,-26.3433,NA,2009,728.46
"Gentoo penguin","Biscoe","Yes",2009-11-25,47.5,14,212,4875,"FEMALE",8.12691,-26.23613,NA,2009,665
"Gentoo penguin","Biscoe","Yes",2009-11-25,52.1,17,230,5550,"MALE",8.27595,-26.11657,NA,2009,885.7
"Gentoo penguin","Biscoe","Yes",2009-11-25,47.5,15,218,4950,"FEMALE",8.29671,-26.08547,NA,2009,712.5
"Gentoo penguin","Biscoe","Yes",2009-11-25,52.2,17.1,228,5400,"MALE",8.36701,-25.89834,NA,2009,892.62
"Gentoo penguin","Biscoe","Yes",2009-12-01,45.5,14.5,212,4750,"FEMALE",8.15566,-26.22848,NA,2009,659.75
"Gentoo penguin","Biscoe","Yes",2009-12-01,49.5,16.1,224,5650,"MALE",8.83352,-25.69195,NA,2009,796.95
"Gentoo penguin","Biscoe","Yes",2009-11-27,44.5,14.7,214,4850,"FEMALE",8.20106,-26.16524,NA,2009,654.15
"Gentoo penguin","Biscoe","Yes",2009-11-27,50.8,15.7,226,5200,"MALE",8.27102,-26.11244,NA,2009,797.56
"Gentoo penguin","Biscoe","Yes",2009-11-18,49.4,15.8,216,4925,"MALE",8.03624,-26.06594,NA,2009,780.52
"Gentoo penguin","Biscoe","Yes",2009-11-18,46.9,14.6,222,4875,"FEMALE",7.8881,-26.04726,NA,2009,684.74
"Gentoo penguin","Biscoe","Yes",2009-11-18,48.4,14.4,203,4625,"FEMALE",8.16582,-26.13971,NA,2009,696.96
"Gentoo penguin","Biscoe","Yes",2009-11-18,51.1,16.5,225,5250,"MALE",8.2066,-26.36863,NA,2009,843.15
"Gentoo penguin","Biscoe","Yes",2009-11-22,48.5,15,219,4850,"FEMALE",8.10231,-26.18763,NA,2009,727.5
"Gentoo penguin","Biscoe","Yes",2009-11-22,55.9,17,228,5600,"MALE",8.3118,-26.35425,NA,2009,950.3
"Gentoo penguin","Biscoe","Yes",2009-11-18,47.2,15.5,215,4975,"FEMALE",8.30817,-26.21651,NA,2009,731.6
"Gentoo penguin","Biscoe","Yes",2009-11-18,49.1,15,228,5500,"MALE",8.65914,-25.79203,NA,2009,736.5
"Gentoo penguin","Biscoe","Yes",2009-12-01,47.3,13.8,216,4725,"FEMALE",8.25818,-26.23886,NA,2009,652.74
"Gentoo penguin","Biscoe","Yes",2009-12-01,46.8,16.1,215,5500,"MALE",8.32359,-26.05756,NA,2009,753.48
"Gentoo penguin","Biscoe","Yes",2009-11-10,41.7,14.7,210,4700,"FEMALE",8.12311,-26.44815,NA,2009,612.99
"Gentoo penguin","Biscoe","Yes",2009-11-10,53.4,15.8,219,5500,"MALE",8.41017,-26.33867,NA,2009,843.72
"Gentoo penguin","Biscoe","Yes",2009-11-09,43.3,14,208,4575,"FEMALE",8.4207,-26.38092,NA,2009,606.2
"Gentoo penguin","Biscoe","Yes",2009-11-09,48.1,15.1,209,5500,"MALE",8.45738,-26.22664,NA,2009,726.31
"Gentoo penguin","Biscoe","Yes",2009-11-20,50.5,15.2,216,5000,"FEMALE",8.24691,-26.18466,NA,2009,767.6
"Gentoo penguin","Biscoe","Yes",2009-11-20,49.8,15.9,229,5950,"MALE",8.29226,-26.21019,NA,2009,791.82
"Gentoo penguin","Biscoe","Yes",2009-11-27,43.5,15.2,213,4650,"FEMALE",8.21634,-26.11046,NA,2009,661.2
"Gentoo penguin","Biscoe","Yes",2009-11-27,51.5,16.3,230,5500,"MALE",8.78557,-25.76147,NA,2009,839.45
"Gentoo penguin","Biscoe","Yes",2009-11-25,46.2,14.1,217,4375,"FEMALE",8.30231,-25.96013,NA,2009,651.42
"Gentoo penguin","Biscoe","Yes",2009-11-25,55.1,16,230,5850,"MALE",8.08354,-26.18161,NA,2009,881.6
"Gentoo penguin","Biscoe","Yes",2009-12-01,44.5,15.7,217,4875,"FEMALE",8.04111,-26.18444,NA,2009,698.65
"Gentoo penguin","Biscoe","Yes",2009-12-01,48.8,16.2,222,6000,"MALE",8.33825,-25.88547,NA,2009,790.56
"Gentoo penguin","Biscoe","No",2009-12-01,47.2,13.7,214,4925,"FEMALE",7.99184,-26.20538,NA,2009,646.64
"Gentoo penguin","Biscoe","Yes",2009-11-22,46.8,14.3,215,4850,"FEMALE",8.41151,-26.13832,NA,2009,669.24
"Gentoo penguin","Biscoe","Yes",2009-11-22,50.4,15.7,222,5750,"MALE",8.30166,-26.04117,NA,2009,791.28
"Gentoo penguin","Biscoe","Yes",2009-11-22,45.2,14.8,212,5200,"FEMALE",8.24246,-26.11969,NA,2009,668.96
"Gentoo penguin","Biscoe","Yes",2009-11-22,49.9,16.1,213,5400,"MALE",8.3639,-26.15531,NA,2009,803.39
